"Participant","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","SexualOrientation","Ethnicity","Feedback_BigDifferenceRealAI","Feedback_SmallDifferenceRealAI","Feedback_NoDifferenceRealAI","Feedback_LabelsNotCorrect","Feedback_LabelsReversed","Feedback_LabelsAllPhotos","Feedback_LabelsAllAI","Feedback_ConfidenceReal","Feedback_ConfidenceFake","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_5_ImitatingReality","BAIT_3_VideosIssues","BAIT_12_Benefit","BAIT_9_Dangerous","BAIT_11_Exciting","BAIT_2_ImagesIssues","BAIT_13_ArtIssues","BAIT_10_Worry","BAIT_6_EnvironmentReal","BAIT_8_TextIssues","BAIT_14_ArtRealistic","BAIT_AttentionCheck","BAIT_7_TextRealistic","BAIT_1_ImagesRealistic","BAIT_4_VideosRealistic","MIST_fake_general_4","MIST_real_general_3","MIST_real_general_4","MIST_real_general_2","MIST_real_general_1","MIST_fake_general_2","MIST_fake_general_1","MIST_fake_general_3","BRS_5","BRS_1","BRS_20","BRS_10","BRS_7","BRS_8","BRS_3","BRS_2","BRS_18","BRS_19","BRS_15","BRS_14","BRS_13","BRS_Attention","BRS_12","BRS_4","BRS_17","BRS_11","BRS_6","BRS_9","BRS_16","Task_AttentionCheck"
"S120",2025-09-30 18:19:21,21.5423333333333,"chrome 140.0.0","false","Windows 10",1536,864,"Woman",20,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,3,3,NA,NA,NA,NA,4,"A few times per month",0,5,2,5,3,4,6,4,4,5,0,6,3,5,3,65,97,70,-92,-100,22,76,91,1,3,4,2,2,4,1,2,5,3,4,2,3,1,4,3,1,2,1,1,4,1
"S063",2025-09-30 09:25:45,41.3490333333333,"firefox 143.0.0","false","Windows 10",1536,864,"Man",20,"Prefer not to say","White",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,4,NA,NA,NA,"The sliders used to rate attractiveness, beauty and symmetry made it difficult/confusing to accurately express my answers at times",2,"A few times per month",0,1,4,2,4,2,5,4,4,6,0,6,3,5,6,-100,100,100,100,63,-100,31,-100,1,1,2,1,1,1,1,1,3,2,1,1,2,1,3,3,3,1,1,1,1,0.777777777777778
"S042",2025-09-29 13:24:57,23.0302,"safari 18.6.0","false","Mac OS",1180,763,"Female",20,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,"A few times per month",2,2,1,5,1,2,6,5,3,4,2,6,3,6,6,-95,70,75,-80,-10,-75,-20,-95,1,2,5,4,3,4,3,2,4,2,4,5,2,1,3,1,1,3,3,1,3,1
"S009",2025-09-29 13:19:09,26.0599166666667,"chrome 140.0.0","false","Windows 10",1536,864,"Female",20,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",3,4,2,3,1,3,6,3,5,3,2,6,1,2,6,-89,-15,-51,-39,-27,-52,-5,-95,1,1,5,1,1,4,1,2,5,5,2,5,5,1,3,1,2,5,3,1,5,1
"S070",2025-09-30 16:09:33,26.75295,"safari 16.5.0","false","Mac OS",1470,840,"Woman",21,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,4,"A few times per month",2,3,5,5,5,4,6,5,3,5,0,6,4,4,5,-80,64,56,-1,77,19,24,-88,2,2,4,3,2,5,5,2,4,5,4,4,4,1,3,3,4,4,4,2,2,0.777777777777778
"S044",2025-09-29 13:25:37,22.1898666666667,"safari 26.0.0","false","Mac OS",1440,900,"Female",20,"Heterosexual","Mixed",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"Once a day",2,3,4,0,4,3,6,4,5,6,4,6,2,5,6,64,20,61,56,-47,-68,70,90,4,3,5,2,4,4,2,2,5,5,4,4,5,1,4,3,2,2,2,2,3,0.666666666666667
"S114",2025-09-30 18:18:12,19.2102833333333,"firefox 143.0.0","false","Mac OS",1366,768,"Man",20,"Homosexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"Never",1,4,0,5,1,2,4,6,3,4,0,6,4,5,5,-100,49,50,10,-19,-65,-25,-100,2,2,4,3,1,1,2,1,2,4,4,4,4,1,1,2,2,3,1,1,4,0.888888888888889
"S097",2025-09-30 16:15:30,17.7954,"chrome 140.0.0","false","Windows 10",1920,1080,"Man",19,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,"A few times per week",2,3,3,3,4,3,6,2,2,3,0,6,3,5,5,37,64,-56,-37,-81,28,39,100,1,1,1,1,1,4,1,1,5,5,5,1,3,1,3,1,1,3,1,1,2,0.555555555555556
"S072",2025-09-30 16:10:58,21.47755,"crios 141.0.7390","true","iOS",1376,1032,"Woman",20,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,4,2,NA,NA,NA,NA,2,"A few times per week",1,4,3,3,4,5,6,3,3,6,5,6,0,2,2,-29,0,-36,-45,-2,-14,5,-30,1,3,3,3,1,3,1,1,3,3,1,3,1,1,3,2,3,2,2,1,3,0.888888888888889
"S094",2025-09-30 16:15:15,27.3704166666667,"firefox 143.0.0","false","Windows 10",1536,864,"Non-binary",21,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"Never",2,6,1,5,1,3,6,6,2,5,0,6,1,4,2,-84,81,86,69,-40,-50,40,-78,2,1,4,4,2,2,2,2,4,3,4,3,3,1,4,2,2,3,1,2,2,1
"S071",2025-09-30 16:10:50,26.28495,"chrome 140.0.0","false","Mac OS",1440,900,"Woman",22,"Homosexual","White",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,"I found it a bit hard to rate attractiveness and beauty of the people shown since I felt bad for them if I found them ugly/unattractive ",3,"Never",4,1,0,6,1,4,6,6,1,3,0,6,5,5,1,-22,58,52,-94,-41,-64,23,40,1,2,5,1,1,2,3,4,4,4,5,5,4,1,4,2,4,3,1,1,1,1
"S091",2025-09-30 16:15:06,16.8427,"safari 16.6.0","false","Mac OS",1710,1069,"Woman",20,"Bisexual","White",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per month",3,5,3,4,3,4,4,5,5,5,5,6,2,5,4,-30,20,46,-3,-27,-100,18,-39,5,4,3,2,4,5,5,3,1,3,3,2,4,1,1,3,1,1,5,5,3,0.555555555555556
"S066",2025-09-30 09:28:13,34.4909666666667,"chrome 138.0.0","false","Mac OS",1707,1067,"Woman",44,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,"With the identification of faces as being either AI or real, there's no way to capture the response of ""this could easily be either!"". I feel that AI has got to a point of being able to generate very real faces - so much so that unless you scrutinise an image and find a seemingly obvious 'error', it's virtually impossible to tell. Therefore my responses followed a pattern where the more unusual a face appeared to be, the more I would tend to select AI generated, because there is no option to leave the slider right in the middle for 'totally unsure'. But I'm not sure that is really the point of the experiment! ",3,"A few times per month",2,3,2,5,3,2,2,5,3,4,3,2,2,6,3,-100,100,85,100,86,34,1,-100,1,1,3,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,2,0.555555555555556
"S023",2025-09-29 13:20:23,18.564,"edge-chromium 140.0.0","false","Windows 10",1280,720,"Female",20,"Bisexual","White",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,NA,3,NA,NA,NA,NA,3,"Never",3,3,2,3,1,3,5,5,3,3,1,6,3,3,3,-95,27,95,-94,30,-87,-95,-96,2,3,3,5,2,3,2,2,5,4,5,2,4,1,4,4,2,2,2,2,4,1
"S010",2025-09-29 13:19:11,19.53465,"chrome 139.0.0","false","Mac OS",1470,919,"Female",19,"Bisexual","White",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,5,"Never",6,4,0,6,5,0,6,6,0,6,6,6,0,5,6,-90,95,96,45,-89,-76,91,-94,5,2,5,2,5,1,4,1,3,4,2,4,2,1,1,1,1,4,1,2,4,1
"S025",2025-09-29 13:20:31,22.2325833333333,"edge-chromium 140.0.0","false","Windows 10",1920,1080,"Female",19,"Bisexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per week",6,2,1,5,2,2,6,6,3,4,6,6,3,4,4,-25,28,86,39,0,-10,84,-31,4,3,4,2,3,5,2,2,3,5,5,4,2,1,2,5,2,2,3,5,4,0.555555555555556
"S079",2025-09-30 16:14:42,23.76525,"chrome 139.0.0","false","Mac OS",1470,920,"Woman",20,"Heterosexual","Prefer not to say",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"A few times per day",4,4,3,4,2,5,5,5,3,6,5,6,2,4,4,-88,-32,97,-95,89,-97,-93,-67,2,1,3,4,2,4,4,3,1,5,4,5,3,1,5,3,4,3,1,1,3,1
"S068",2025-09-30 13:54:17,18.8000666666667,"chrome 139.0.0","false","Mac OS",1440,900,"Non-binary",19,"Bisexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,NA,4,NA,NA,NA,"no",2,"A few times per month",4,2,2,6,4,4,6,6,5,4,2,6,6,6,6,-61,100,100,100,-25,5,89,-49,4,1,3,3,1,4,1,3,2,4,4,4,4,1,2,3,4,3,2,1,3,0.666666666666667
"S055",2025-09-30 09:23:32,30.0033166666667,"chrome 139.0.0","false","Windows 10",1280,720,"Non-binary",19,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,"Never",6,6,3,5,2,5,6,5,4,5,0,6,1,5,3,-68,77,58,18,-76,-45,-18,-53,2,2,5,2,1,4,2,2,3,2,4,2,5,1,4,2,4,4,1,1,4,1
"S061",2025-09-30 09:24:56,20.1235833333333,"ios-webview 605.1.15","true","iOS",979,625,"Woman",19,"Heterosexual","Black",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,5,NA,NA,NA,NA,NA,NA,3,"A few times per week",4,4,2,6,5,4,6,6,4,3,0,3,3,3,3,25,-39,-31,25,-34,-37,29,21,2,5,5,3,5,4,5,3,5,5,3,5,5,1,5,4,5,5,5,3,5,0.666666666666667
"S050",2025-09-30 09:22:27,25.4983,"chrome 140.0.0","false","Mac OS",1470,920,"Woman",20,"Heterosexual","Southeast Asian",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,"A few times per week",4,4,2,3,3,5,6,3,4,5,1,6,2,5,4,-76,-38,60,-73,-2,-31,47,32,2,3,4,3,2,4,2,2,2,4,5,5,4,1,3,2,2,4,2,1,3,0.555555555555556
"S035",2025-09-29 13:22:43,30.6154666666667,"chrome 140.0.0","false","Windows 10",1280,720,"Male",20,"asexual","White",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,4,2,4,NA,NA,NA,NA,3,"A few times per week",3,5,2,6,3,5,6,5,5,5,0,6,2,5,3,-83,44,40,-21,-58,-88,61,-32,2,2,4,1,1,4,4,2,3,4,2,5,4,1,2,1,3,4,1,1,2,0.555555555555556
"S015",2025-09-29 13:19:28,23.3880166666667,"safari 16.6.1","false","Mac OS",1440,900,"Female",21,"Bisexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,0,"A few times per week",5,2,3,6,5,4,1,6,4,3,6,6,6,5,5,-95,48,48,0,-37,96,59,-95,2,5,5,4,2,4,4,4,4,5,5,5,5,1,4,2,1,4,5,2,4,0.555555555555556
"S041",2025-09-29 13:24:36,22.0957833333333,"chrome 140.0.0","false","Windows 10",1366,768,"Female",19,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",4,2,4,5,5,4,3,4,5,4,3,6,2,5,5,-16,-58,58,43,70,-80,38,-10,5,2,4,2,2,2,1,2,3,4,3,5,5,1,3,2,2,5,2,2,4,0.777777777777778
"S102",2025-09-30 16:17:10,20.36215,"safari 18.6.0","false","Mac OS",1180,751,"Woman",20,"Homosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA,3,NA,NA,NA,NA,4,"A few times per month",3,5,4,5,3,5,5,4,4,4,3,6,2,3,2,-53,44,60,-38,50,64,-43,64,1,3,2,2,3,3,1,1,4,4,4,4,1,3,3,1,1,1,3,3,3,0.666666666666667
"S005",2025-09-29 13:19:03,22.4733166666667,"edge-chromium 140.0.0","false","Windows 10",1536,864,"Female",30,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,4,4,NA,NA,NA,NA,3,"Never",5,5,0,6,0,4,5,6,5,5,0,6,4,3,2,-100,79,43,100,68,-100,-100,-100,3,4,4,2,3,3,3,2,4,4,3,4,3,1,4,4,3,4,2,2,3,0.888888888888889
"S109",2025-09-30 16:24:35,31.2199666666667,"chrome 140.0.0","false","Windows 10",1280,800,"Woman",20,"Heterosexual","White",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,1,NA,NA,NA,NA,4,"A few times per month",4,1,2,2,4,2,5,6,5,4,0,5,3,5,4,6,-55,35,-10,23,15,100,6,1,1,4,1,1,1,2,1,3,1,3,3,2,1,2,4,2,1,1,1,3,0.666666666666667
"S052",2025-09-30 09:23:08,20.3197833333333,"chrome 136.0.0","false","Mac OS",1280,800,"Woman",19,"Heterosexual","Mixed",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,NA,4,NA,NA,NA,NA,2,"A few times per week",6,4,3,6,4,4,6,6,4,5,5,6,4,6,6,-97,28,73,-98,-39,-71,29,-35,2,3,5,3,2,4,2,3,4,5,3,5,4,1,5,4,4,2,2,2,4,1
"S011",2025-09-29 13:19:15,20.8592166666667,"safari 26.0.0","false","Mac OS",1280,710,"Female",19,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",3,5,3,4,3,2,4,5,6,4,3,3,5,6,6,-97,56,24,-48,-44,-26,38,-84,1,4,5,4,3,5,3,2,4,5,4,5,5,1,4,3,4,5,4,3,3,0.777777777777778
"S006",2025-09-29 13:19:05,22.32175,"chrome 136.0.0","false","Windows 10",1536,864,"Female",20,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,NA,3,NA,NA,NA,NA,1,"A few times per month",5,5,3,6,3,2,5,6,4,6,1,6,2,5,1,-100,26,38,42,-53,-53,18,-64,2,4,5,4,4,4,3,3,5,5,5,5,4,1,5,2,1,4,4,4,4,0.555555555555556
"S045",2025-09-29 13:27:24,28.9169166666667,"edge-chromium 140.0.0","false","Windows 10",1280,720,"Female",20,"Heterosexual","Black",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",2,3,1,5,1,3,5,6,3,3,2,6,3,5,3,-28,43,25,40,-47,-57,25,-31,2,1,4,2,2,2,1,2,5,5,3,5,4,1,4,2,3,3,2,1,4,0.777777777777778
"S048",2025-09-30 09:18:53,42.4866333333333,"chrome 139.0.0","false","Windows 10",1920,953,"Woman",42,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per week",3,3,2,5,2,3,3,5,5,5,3,6,2,4,3,-100,37,100,100,100,-100,-100,-100,3,4,4,4,3,5,4,3,5,4,4,5,5,1,4,1,1,4,4,4,3,0.888888888888889
"S060",2025-09-30 09:24:49,32.9148,"chrome 139.0.0","false","Windows 10",1920,1080,"Woman",21,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,3,"A few times per month",5,4,2,4,3,0,5,6,2,5,0,0,2,5,6,-32,-31,60,31,43,47,-50,36,1,2,4,2,2,2,2,1,3,2,2,3,4,5,2,3,3,3,1,1,4,1
"S018",2025-09-29 13:19:30,36.3649833333333,"chrome 138.0.0","false","Chrome OS",1200,750,"Female",19,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,NA,3,NA,NA,NA,NA,1,"A few times per week",1,5,4,4,3,1,6,4,3,3,1,6,5,6,4,-47,28,-21,-9,27,10,27,-70,2,1,5,2,2,4,1,1,1,4,4,4,3,1,3,4,2,3,3,3,4,0.888888888888889
"S062",2025-09-30 09:25:26,29.6090666666667,"chrome 139.0.0","false","Windows 10",1920,1080,"Woman",19,"Prefer not to say","Mixed",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",0,5,3,4,2,2,6,6,2,3,0,6,4,4,2,-15,82,93,44,23,-29,59,-29,2,1,5,2,2,3,1,2,5,5,5,4,5,1,2,2,4,5,1,1,4,0.888888888888889
"S054",2025-09-30 09:23:29,35.2835666666667,"chrome 140.0.0","false","Windows 10",1536,864,"Woman",19,"Pansexual","White",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",3,4,0,4,1,3,6,6,1,5,0,6,2,2,2,-30,70,75,10,20,-60,-1,-35,2,4,4,5,3,3,3,3,3,3,3,4,4,1,3,3,2,4,2,3,2,1
"S093",2025-09-30 16:15:13,20.3831166666667,"chrome 140.0.0","false","Windows 10",1366,768,"Woman",21,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,"A few times per month",2,3,3,4,1,3,6,4,4,5,2,6,2,4,3,-25,8,36,20,-40,-12,37,18,3,4,4,3,3,5,3,4,4,3,3,2,4,1,4,4,4,2,4,3,4,0.888888888888889
