"Participant","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","SexualOrientation","Ethnicity","Feedback_BigDifferenceRealAI","Feedback_SmallDifferenceRealAI","Feedback_NoDifferenceRealAI","Feedback_LabelsNotCorrect","Feedback_LabelsReversed","Feedback_LabelsAllPhotos","Feedback_LabelsAllAI","Feedback_ConfidenceReal","Feedback_ConfidenceFake","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_5_ImitatingReality","BAIT_3_VideosIssues","BAIT_12_Benefit","BAIT_9_Dangerous","BAIT_11_Exciting","BAIT_2_ImagesIssues","BAIT_13_ArtIssues","BAIT_10_Worry","BAIT_6_EnvironmentReal","BAIT_8_TextIssues","BAIT_14_ArtRealistic","BAIT_AttentionCheck","BAIT_7_TextRealistic","BAIT_1_ImagesRealistic","BAIT_4_VideosRealistic","MIST_fake_general_4","MIST_real_general_3","MIST_real_general_4","MIST_real_general_2","MIST_real_general_1","MIST_fake_general_2","MIST_fake_general_1","MIST_fake_general_3","BRS_5","BRS_1","BRS_20","BRS_10","BRS_7","BRS_8","BRS_3","BRS_2","BRS_18","BRS_19","BRS_15","BRS_14","BRS_13","BRS_Attention","BRS_12","BRS_4","BRS_17","BRS_11","BRS_6","BRS_9","BRS_16","Task_AttentionCheck"
"S049",2025-09-30 09:22:20,30.1310666666667,"chrome 140.0.0","false","Windows 10",1280,800,"Woman",21,"Prefer not to say","Southeast Asian",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,"Using the scales of attractiveness, especially when doing the experiment in a public space, can be uncomfortable as you are confronted with the fact that you may have to rank real-life people and voice opinions you usually won't think to do.",2,"A few times per month",5,5,2,3,2,5,6,6,6,4,0,6,2,3,2,-25,30,-26,79,-47,34,25,55,3,4,4,4,4,4,1,2,3,5,3,4,4,1,4,3,1,1,3,2,5,0.777777777777778
"S058",2025-09-30 09:23:49,18.0423,"chrome 139.0.0","false","Mac OS",1680,1050,"Non-binary",20,"Pansexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,3,2,NA,NA,NA,NA,3,"A few times per month",5,6,1,6,1,6,6,6,0,6,0,6,0,2,0,-25,96,-56,45,75,-31,50,-73,2,3,3,1,1,1,1,1,3,1,3,2,1,1,3,2,1,1,2,1,3,1
"S106",2025-09-30 16:19:36,19.3218333333333,"chrome 139.0.0","false","Mac OS",1440,900,"Man",20,"Heterosexual","South Asian",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per day",5,2,5,5,6,2,3,6,5,5,3,6,2,6,4,-25,-18,-38,-12,-33,-100,-33,10,2,2,3,1,4,4,2,2,2,5,2,4,1,1,5,2,5,5,4,4,1,0.444444444444444
"S107",2025-09-30 16:20:27,15.8288333333333,"chrome 138.0.0","false","Mac OS",1470,919,"Woman",20,"Heterosexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,NA,3,NA,NA,NA,"yes but the amount of images shown could be lowered to prevent students from losing focus ",2,"A few times per week",6,3,4,6,4,5,4,5,5,4,6,6,4,5,5,-98,65,71,-61,44,-99,-76,-100,4,4,5,3,3,4,5,5,5,4,4,5,5,1,2,3,5,5,3,1,4,0.777777777777778
"S033",2025-09-29 13:22:40,32.33575,"safari 17.0.0","false","Mac OS",1470,920,"Female",41,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,3,"A few times per week",5,1,2,6,5,3,6,6,2,5,2,6,5,6,5,-100,83,88,-30,-12,33,34,-24,1,4,3,4,2,2,5,3,5,4,4,3,4,1,5,4,2,4,3,2,4,0.666666666666667
"S034",2025-09-29 13:22:42,21.66185,"chrome 140.0.0","false","Windows 10",1536,864,"Male",21,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",0,4,2,5,2,2,6,4,2,3,0,6,5,6,5,-100,100,-100,100,-100,18,100,-100,1,3,4,1,1,2,1,3,4,5,2,3,4,1,5,1,4,4,5,5,1,0.888888888888889
"S082",2025-09-30 16:14:49,20.0152666666667,"chrome 140.0.0","false","Windows 10",1536,864,"Woman",20,"Homosexual","White",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"A few times per month",3,4,1,6,3,5,6,6,2,2,0,6,5,3,4,-61,49,54,33,-62,20,-49,15,2,2,4,3,2,4,2,3,5,4,4,4,2,1,3,2,2,3,3,2,3,0.888888888888889
"S057",2025-09-30 09:23:43,27.9099833333333,"chrome 139.0.0","false","Windows 10",1920,1080,"Woman",19,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,2,"A few times per month",4,3,2,4,4,2,3,5,4,6,3,6,3,5,6,-57,75,85,-66,-53,-69,-58,-60,2,2,3,3,3,1,2,2,4,4,2,5,3,1,2,1,5,5,2,1,4,0.555555555555556
"S083",2025-09-30 16:14:51,22.5402333333333,"chrome 140.0.0","false","Windows 10",1536,864,"Woman",22,"Homosexual","White",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,3,NA,NA,NA,NA,NA,2,"Never",5,1,1,6,2,4,4,6,2,3,3,1,5,5,5,10,-19,56,9,31,8,-83,-63,5,3,5,2,3,3,2,3,5,4,4,5,4,3,5,4,2,2,1,1,4,0.555555555555556
"S013",2025-09-29 13:19:16,24.7020833333333,"crios 140.0.7339","true","iOS",1080,770,"Female",19,"Bisexual","South Asian",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",2,5,3,5,5,5,6,6,0,5,0,6,2,4,5,-98,40,90,100,50,-100,46,-80,1,1,3,5,1,2,1,3,5,3,5,4,5,1,4,2,1,5,1,1,1,1
"S073",2025-09-30 16:14:30,16.9922666666667,"firefox 144.0.0","false","Windows 10",1600,900,"Non-binary",22,"Queer","White",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,4,"Never",4,3,2,6,1,1,5,6,5,5,0,6,4,6,5,-89,100,52,26,0,-35,50,-100,4,4,5,2,1,3,3,4,5,4,4,2,4,1,5,3,4,3,1,2,5,0.888888888888889
"S051",2025-09-30 09:22:34,30.5351166666667,"chrome 140.0.0","false","Mac OS",1440,900,"Woman",21,"Heterosexual","White",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,3,"Once a day",2,4,1,5,1,4,6,5,4,4,0,6,3,4,4,12,-49,26,42,33,10,-34,-26,2,3,5,1,3,3,2,2,4,4,2,4,4,1,4,2,4,3,2,2,2,0.555555555555556
"S040",2025-09-29 13:23:43,18.09865,"chrome 140.0.0","false","Windows 10",1536,960,"Female",21,"Bisexual","portuguese",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,"A few times per month",4,3,2,6,0,3,6,6,4,5,0,6,3,6,4,-100,0,0,0,13,-54,-18,0,1,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0.666666666666667
"S046",2025-09-29 13:27:43,24.39775,"chrome 139.0.0","false","Windows 10",1536,864,"Female",20,"Homosexual","White",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,3,3,NA,NA,NA,NA,2,"Never",0,3,0,5,1,4,6,5,4,6,0,6,0,5,5,-100,26,56,10,78,-78,-59,-100,2,3,3,3,3,3,1,4,4,4,2,4,3,1,4,2,1,4,2,1,3,1
"S088",2025-09-30 16:15:03,38.50275,"edge-chromium 140.0.0","false","Windows 10",1280,720,"Woman",21,"Heterosexual","Black",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,0,"A few times per month",1,3,3,3,3,3,3,3,3,3,3,6,1,3,2,-32,17,40,23,2,-2,-3,-36,2,2,4,2,2,2,2,2,2,2,2,4,4,1,4,2,4,4,2,1,3,0.888888888888889
"S100",2025-09-30 16:16:08,33.7153333333333,"safari 18.6.0","false","Mac OS",1710,1069,"Woman",19,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",4,3,4,6,4,2,6,4,3,4,3,6,5,4,3,-40,27,18,15,-29,-43,10,-42,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,5,3,4,5,4,0.777777777777778
"S030",2025-09-29 13:21:16,22.9043833333333,"edge-chromium 140.0.0","false","Windows 10",1280,720,"Female",21,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,NA,3,NA,NA,NA,NA,1,"A few times per month",3,4,1,3,1,4,4,4,3,4,1,6,3,3,3,-100,-57,70,5,25,-29,35,-100,4,3,5,3,5,4,3,2,4,3,4,4,4,1,4,3,2,3,2,3,4,0.555555555555556
"S056",2025-09-30 09:23:39,24.3011333333333,"chrome 135.0.0","false","Windows 10",1536,864,"Woman",19,"Heterosexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,NA,3,NA,NA,NA,NA,5,"A few times per week",4,6,1,5,3,0,2,4,3,6,1,6,0,6,4,-93,95,65,71,76,-71,77,-96,5,5,4,2,5,5,5,3,2,3,5,3,2,1,1,5,2,2,5,5,2,0.777777777777778
"S038",2025-09-29 13:23:14,23.7267333333333,"chrome 140.0.0","false","Windows 10",1280,720,"Male",20,"Bisexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,"Some of the images didn't show up for me - if that was the case I rated all the sliders on the 0 scale. ",4,"Never",0,6,1,6,3,3,6,6,1,4,0,6,2,5,1,-100,30,100,0,60,-60,40,-100,1,1,3,2,3,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,0.666666666666667
"S121",2025-09-30 18:20:03,16.0264333333333,"chrome 140.0.0","false","Windows 10",1280,720,"Woman",19,"Bisexual","White",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,NA,NA,NA,NA,NA,NA,1,"A few times per month",3,4,1,4,4,4,6,5,2,5,1,6,1,2,3,-78,20,36,-23,51,-26,-17,-48,3,2,5,4,3,3,2,2,5,4,4,4,4,1,4,2,4,4,2,2,2,0.777777777777778
"S084",2025-09-30 16:14:51,24.8377833333333,"chrome 140.0.0","false","Windows 10",1920,1080,"Woman",19,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per month",4,1,0,5,1,4,6,6,4,6,0,6,5,5,5,-77,-45,-26,42,38,45,-22,69,2,2,4,4,2,2,1,2,1,4,5,4,4,1,3,4,4,3,1,1,1,0.777777777777778
"S096",2025-09-30 16:15:27,17.54285,"edge-chromium 140.0.0","false","Windows 10",1536,1024,"Woman",21,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,3,"A few times per month",3,4,4,4,3,2,2,4,3,4,4,6,4,5,6,-32,-8,50,26,14,29,-41,59,3,3,4,3,3,4,3,4,2,4,4,4,4,1,3,3,2,4,4,2,3,0.666666666666667
"S087",2025-09-30 16:15:00,36.9033,"chrome 140.0.0","false","Windows 10",1280,800,"Woman",19,"Bisexual","Black",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"Never",4,4,2,5,2,5,6,4,2,4,0,6,4,4,3,-38,70,67,23,-35,-35,54,-50,2,4,4,3,3,2,2,3,3,4,4,4,2,2,3,2,1,4,2,2,4,1
"S080",2025-09-30 16:14:46,20.5330666666667,"safari 18.5.0","false","Mac OS",1440,900,"Woman",20,"Bisexual","White",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"Never",4,4,1,6,0,5,6,6,2,6,0,6,1,3,3,-72,24,23,12,41,-75,-75,-41,4,2,3,3,2,5,3,3,3,4,3,4,3,1,2,4,1,1,2,2,3,1
"S118",2025-09-30 18:19:04,21.9334666666667,"safari 18.6.0","false","Mac OS",1710,1069,"Woman",19,"Bisexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",4,5,1,5,3,1,5,4,4,3,2,6,4,6,3,-68,38,65,44,11,15,-67,-47,3,3,2,2,2,3,3,2,4,5,4,5,4,1,3,2,3,4,2,1,5,0.888888888888889
"S024",2025-09-29 13:20:25,20.3383166666667,"chrome 138.0.0","false","Mac OS",1920,1201,"Female",19,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",4,4,3,6,2,1,6,6,4,6,0,6,0,5,5,-56,-65,-63,65,-64,-56,27,-85,3,5,5,3,3,3,5,4,5,2,3,5,4,1,2,4,3,4,5,5,4,1
"S036",2025-09-29 13:22:55,26.4292833333333,"edge-chromium 139.0.0","false","Windows 10",1280,720,"Female",20,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per week",4,2,1,4,2,4,6,5,2,2,1,6,4,4,4,-87,32,42,-10,18,14,11,-82,1,2,5,4,1,1,1,1,5,1,1,4,5,1,2,1,1,4,1,1,2,0.666666666666667
"S115",2025-09-30 18:18:16,18.9770333333333,"safari 18.1.1","false","Mac OS",1470,920,"Woman",19,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,4,"A few times per week",0,6,3,6,1,4,6,5,0,6,6,6,5,6,6,-29,-17,100,76,-100,100,32,69,3,2,1,2,4,2,1,1,5,5,3,5,4,1,5,2,1,5,1,1,2,1
"S028",2025-09-29 13:21:02,19.3927833333333,"chrome 135.0.0","false","Mac OS",1440,900,"Female",23,"Bisexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,4,"A few times per week",2,2,0,6,4,2,6,6,4,2,2,6,6,3,4,-97,57,-46,20,-53,-20,16,-97,1,1,2,3,1,1,1,1,1,4,4,4,3,1,1,2,2,3,1,1,3,0.777777777777778
"S022",2025-09-29 13:20:19,29.9592166666667,"chrome 140.0.0","false","Mac OS",1470,920,"Female",19,"Heterosexual","Mixed",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",1,4,2,5,3,3,3,4,1,4,3,6,2,5,3,43,-48,30,20,-32,-28,-7,24,2,3,3,2,1,3,1,1,5,5,4,4,3,1,3,2,1,2,1,1,3,0.888888888888889
"S019",2025-09-29 13:19:54,22.8376166666667,"chrome 113.0.0","false","Chrome OS",1707,960,"Female",19,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,2,NA,NA,NA,NA,NA,3,"A few times per month",5,4,1,6,2,3,6,6,4,4,0,6,1,5,3,-90,50,85,-20,15,-5,-20,-80,2,2,2,3,2,3,2,2,5,4,3,5,4,1,4,1,2,4,2,1,4,0.666666666666667
"S021",2025-09-29 13:20:03,21.5404833333333,"chrome 139.0.0","false","Windows 10",1920,1080,"Male",21,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"A few times per week",1,5,5,4,4,4,5,5,5,5,3,6,2,4,6,-79,52,16,49,-76,44,29,-24,2,2,4,3,2,3,3,3,5,5,5,3,5,1,5,3,5,4,2,1,4,0.444444444444444
"S078",2025-09-30 16:14:40,25.9703166666667,"chrome 140.0.0","false","Windows 10",1536,864,"Woman",20,"Bisexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,1,"A few times per month",2,4,3,5,2,3,6,6,4,2,1,6,3,5,2,-64,60,88,32,26,-40,50,-88,3,3,4,2,3,3,2,1,4,4,3,4,4,1,4,2,4,3,2,1,4,0.666666666666667
"S074",2025-09-30 16:14:33,23.3403333333333,"chrome 139.0.0","false","Windows 10",1920,1080,"Woman",20,"Bisexual","White",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,3,"A few times per month",2,3,0,3,1,1,6,4,3,4,0,6,3,2,3,9,33,61,-66,-67,-38,29,-30,3,3,5,3,3,3,4,4,4,2,5,4,4,4,4,2,1,3,2,3,2,0.888888888888889
"S105",2025-09-30 16:18:38,24.02765,"safari 16.1.0","false","Mac OS",1180,820,"Woman",20,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per week",4,2,2,4,5,1,5,5,5,3,4,6,1,6,5,-60,-1,-51,-82,21,60,-74,-100,3,3,4,4,3,4,2,3,4,4,4,5,5,1,3,4,1,4,2,2,3,1
"S003",2025-09-29 13:17:31,25.9078666666667,"safari 17.6.0","false","Mac OS",1470,920,"Female",19,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",3,3,3,4,3,2,5,4,5,3,2,6,4,4,4,-66,42,-52,-81,41,5,43,-19,2,3,4,2,3,2,3,2,5,5,3,5,5,1,2,1,4,4,2,2,4,0.888888888888889
"S077",2025-09-30 16:14:38,31.21905,"chrome 139.0.0","false","Mac OS",1440,900,"Woman",21,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,3,"A few times per month",3,2,4,5,4,2,1,6,2,4,5,6,2,6,5,-95,90,95,-60,-15,-90,50,-65,1,4,5,1,4,2,2,1,4,4,4,5,5,1,4,3,2,3,3,3,1,0.666666666666667
"S007",2025-09-29 13:19:05,26.25595,"chrome 139.0.0","false","Chrome OS",1920,1080,"Female",23,"Heterosexual","White",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,NA,1,NA,NA,NA,NA,1,"A few times per month",1,4,3,5,1,5,6,6,3,4,1,6,1,1,3,-74,51,49,-67,-20,-73,30,10,3,1,4,1,1,3,1,1,5,2,3,2,4,1,4,3,2,3,1,1,2,0.777777777777778
"S026",2025-09-29 13:20:42,24.8225666666667,"safari 18.6.0","false","Mac OS",1280,800,"Female",24,"Heterosexual","White",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,1,"A few times per day",0,3,3,1,6,1,4,4,3,6,0,6,4,3,4,-100,100,-15,-100,-50,-100,29,-56,1,2,1,1,2,3,1,1,3,4,1,5,4,1,2,3,5,3,1,1,3,0.888888888888889
"S076",2025-09-30 16:14:37,29.2553666666667,"chrome 139.0.0","false","Windows 10",1920,1080,"Woman",21,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,"A few times per week",2,4,3,5,5,3,6,5,4,5,2,6,3,5,4,-50,60,-35,-45,20,-30,40,-50,3,2,4,3,2,3,2,2,4,4,4,5,4,1,5,3,4,3,3,1,5,1
"S108",2025-09-30 16:24:24,22.463,"edge-chromium 140.0.0","false","Windows 10",1536,864,"Woman",19,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",0,4,0,4,1,1,6,5,2,3,0,6,3,6,6,51,-26,-16,20,-34,-12,11,54,3,3,4,3,4,3,2,2,4,4,2,4,3,1,4,4,1,1,3,2,5,1
"S031",2025-09-29 13:22:04,20.25755,"safari 17.6.0","false","Mac OS",1710,1070,"Female",37,"Homosexual","Mixed",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per month",3,1,1,6,1,0,3,6,4,3,3,6,3,6,6,-100,-100,-100,100,-71,41,100,100,4,2,4,2,3,4,3,3,2,3,4,4,4,1,3,2,4,4,3,3,3,0.888888888888889
"S112",2025-09-30 18:03:09,37.1147833333333,"chrome 124.0.0","false","Windows 10",1536,864,"Man",19,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",2,4,2,5,3,4,6,6,2,5,0,0,2,3,3,-71,25,70,0,10,-80,65,-90,1,1,5,3,1,4,1,2,1,4,3,4,4,1,5,1,4,4,1,1,5,1
"S092",2025-09-30 16:15:07,27.2739166666667,"firefox 143.0.0","false","Windows 10",1920,1080,"Woman",20,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,"I feel like the labels ""fake news"" and ""real news"" should be switched to real and fake headline because they could be real headlines but fake news and that is confusing. ",3,"A few times per month",4,5,3,5,3,2,6,6,4,4,0,6,2,4,4,-90,90,90,-80,30,10,-80,-10,2,2,5,4,4,4,1,2,3,4,2,2,2,1,3,1,1,4,2,2,4,1
